	Center	Punct\cont	X	VERB	Time	N\P	S_O	KNOW	Perso?	Act				Full context
main	Уж		адреса	мочь узнать	past	N	O	1						Ужадреса-тоон наверняка мог узнать ― как-нибудь потихоньку, не привлекая внимания. [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
main	уж		артиста	-	present	N	O		1					Вот такое же разное мнение бывает при оценке того или иного человека, а ужартистатемболее. [Евгений Весник. Дарю, что помню (1997)] [омонимия не снята]
main	уж		Андрей	знать	past	N	S	1	1					Грудь и бёдра ― в обычной восемнадцатилетней норме, почти не выделяются, но ужАндрей-тознал, что они могут расширяться и укрупняться, что они ― как лошадиные силы в моторе, временно отключённом. [Анатолий Азольский. Лопушок // «Новый Мир», 1998] [омонимия снята]
main	Уж		асфоманты	найти	past	N	S		1	1				― Ужасфоманты-тонашли бы способ выразить протест! [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
main	уж		бактерия	загоношится	future	N	S			1				Вот это страшно! Вот ужбактерия-тозагоношится! ― Он потряс кулаком. [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
main	уж		баран	блестать	present	N	S							Почвы не режет соха, уже не режет лозы виноградарь; Снял уж и пахарь ярмо с исстрадавшейся выи бычачьей; Мягкая шерсть позабыла облыжной обманывать краской: Нет, на лугу уж баран то приятною блещет порфирой, То золотистым шафраном, то ярким огнем багряницы. [Ф. Ф. Зелинский. Первое светопреставление (1916)] [омонимия не снята]
main	уж		вздору	навалять	past	N	O			1				Что ж, беги, карандаш, так и быть, только постарайся уж как-то поприличнее, посуше, чтобы и серьёзные люди нашли хоть малый толк в твоих писаниях, постарайся хотя бы без вымысла, без фантазий, довольно ужвздору-тонавалял ― в ящики не закатывается. [Василий Аксенов. Круглые сутки нон-стоп // «Новый Мир», 1976] [омонимия снята]
main	уж	«	Зверей	-	present	N	O			.				― Ну, уж«зверей» -тотут куда нехорошо! [И. А. Гончаров. Обыкновенная история (1847)] [омонимия не снята]
main	уж		землю	холить	past	N	O			1				С какой, бывало, радостью и ожесточением набрасывался он на свой огород, унавоживал — выгребал навоз до последней лопаты, а уж землю то холил — перебирал руками чуть ли не каждую горсть. [Федор Абрамов. Братья и сестры (1958)] [омонимия не снята]
main	Уж	«	Интернационал	исполнять	past	N	O			1				Уж«Интернационал» -тоопределенно исполнял на партийных заседаниях в своей конторе. [Валериан Скворцов. Каникулы вне закона (2001)] [омонимия не снята]
